execution_id	timestamp_utc	run_pair_id	git_sha	dirty_flag	executable	build_type	inputs_file	setup_id	restart_from	validation_question	validation_lane	input_scope	temporal_scope	use_wsm6_cpp_answer	microphysics_debug	max_step	stop_time	nprocs	target_column_ij	plot_path	checkpoint_path	log_path	exit_code	execution_status	notes
20260430T182208Z_plotparity_v1c_short_fortran_dbg0	20260430T182208Z	plotfile_parity_v1c_short10	1d8c57190cf1a27b09b63e9a7f749f9d36485b6f	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1c	NA	plotfile_sanity_gate	plotfile_parity	ic_short_pair	milestones_A_B_steps_1_10	0	0	10	NA	1	NA	plotfile_parity_v1c/short_fortran/plt*	plotfile_parity_v1c/short_fortran/chk*	plotfile_parity_v1c/log.short_fortran	0	success	fcompare_A=PLOTFILE_AGREE;fcompare_B=PLOTFILE_AGREE;erf.fixed_dt=1.0
20260430T182208Z_plotparity_v1c_short_cpp_dbg0	20260430T182208Z	plotfile_parity_v1c_short10	1d8c57190cf1a27b09b63e9a7f749f9d36485b6f	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1c	NA	plotfile_sanity_gate	plotfile_parity	ic_short_pair	milestones_A_B_steps_1_10	1	0	10	NA	1	NA	plotfile_parity_v1c/short_cpp/plt*	plotfile_parity_v1c/short_cpp/chk*	plotfile_parity_v1c/log.short_cpp	0	success	fcompare_A=PLOTFILE_AGREE;fcompare_B=PLOTFILE_AGREE;erf.fixed_dt=1.0
20260430T182208Z_tagretreat_chk253_clean_1d8c5719_fortran_dbg1	20260430T182208Z	tagretreat_chk253_step254_clean_1d8c5719	1d8c57190cf1a27b09b63e9a7f749f9d36485b6f	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	1	254	99999.0	1	NA	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/fortran/plt00254	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/fortran/chk00254	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/log.fortran_dbg1	0	success	debug_tags=DENFAC,QSAT,SLOPE1;fcompare_plt00254_nonzero=yes
20260430T182208Z_tagretreat_chk253_clean_1d8c5719_cpp_dbg1	20260430T182208Z	tagretreat_chk253_step254_clean_1d8c5719	1d8c57190cf1a27b09b63e9a7f749f9d36485b6f	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	1	254	99999.0	1	NA	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/cpp/plt00254	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/cpp/chk00254	plotfile_parity_v1d/tag_retreat_G1b_clean_1d8c5719/log.cpp_dbg1	0	success	debug_tags=DENFAC,QSAT,SLOPE1;fcompare_plt00254_nonzero=yes
20260501T162623Z_tagretreat_chk253_t2_clean_2b8fd124_fortran_dbg2	20260501T162623Z	tagretreat_chk253_step254_t2_clean_2b8fd124	2b8fd12430fd23fe7a18a6042ef2a5ddb92d49c0	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	99999.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/log.fortran_dbg2_t2	0	success	diag_mode=forensic;diag_tags=DENFAC;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);tier2_incore_count=768;tier2_precall_cpp_count=128;tier1_denfac_present_in_fortran=yes
20260501T162623Z_tagretreat_chk253_t2_clean_2b8fd124_cpp_dbg2	20260501T162623Z	tagretreat_chk253_step254_t2_clean_2b8fd124	2b8fd12430fd23fe7a18a6042ef2a5ddb92d49c0	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	99999.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_2b8fd124_20260501T162623Z/log.cpp_dbg2_t2	0	success	diag_mode=forensic;diag_tags=DENFAC;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);tier2_incore_count=768;tier2_precall_cpp_count=128;tier1_denfac_present_in_cpp=no
20260501T204027Z_tagretreat_chk253_t2_clean_b14408b5_fortran_dbg2	20260501T204027Z	tagretreat_chk253_step254_t2_clean_b14408b5	b14408b54931f72cc5b99cbda35f6ae6afe6f6b1	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/log.fortran_dbg2_t2	0	success	diag_mode=forensic;diag_tags=DENFAC;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);tier2_incore_count=768;tier2_precall_cpp_count=128;embedded_git_hash=b14408b5;bug_class=bridge_core_lower_bound_mismatch;patch_commit=b14408b5;tier2_scope=DENFAC/standing/(92,3)/chk00253_to_plt00254;primary_oracle=DENFAC/INCORE/recip__broken_full/denfac;post_patch_classification=A;tier2_all_deltas_zero=yes
20260501T204027Z_tagretreat_chk253_t2_clean_b14408b5_cpp_dbg2	20260501T204027Z	tagretreat_chk253_step254_t2_clean_b14408b5	b14408b54931f72cc5b99cbda35f6ae6afe6f6b1	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	2	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t2_clean_b14408b5_20260501T204027Z/log.cpp_dbg2_t2	0	success	diag_mode=forensic;diag_tags=DENFAC;diag_expr=standing;diag_store=standing;diag_target_column=(92,3);tier2_incore_count=768;tier2_precall_cpp_count=128;embedded_git_hash=b14408b5;bug_class=bridge_core_lower_bound_mismatch;patch_commit=b14408b5;tier2_scope=DENFAC/standing/(92,3)/chk00253_to_plt00254;primary_oracle=DENFAC/INCORE/recip__broken_full/denfac;post_patch_classification=A;tier2_all_deltas_zero=yes
20260501T204827Z_tagretreat_chk253_t1_clean_e8f71610_fortran_dbg1	20260501T204827Z	tagretreat_chk253_step254_t1_clean_e8f71610	e8f716106f602baa14f6882586c95d68a8cb8f6a	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	0	1	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/fortran/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/fortran/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/log.fortran_dbg1_t1	0	success	diag_mode=canonical;diag_target_column=(92,3);canonical_tag_count=3074;denfac_count=128;denfac_max_abs=4.441e-16;embedded_git_hash=e8f71610;tier1_first_material_group=none
20260501T204827Z_tagretreat_chk253_t1_clean_e8f71610_cpp_dbg1	20260501T204827Z	tagretreat_chk253_step254_t1_clean_e8f71610	e8f716106f602baa14f6882586c95d68a8cb8f6a	clean	/home/jmsexton/codes/ERF/Exec/ERF3d.gnu.TEST.ex	test	inputs_moisture_WSM6	plotfile_parity_v1d	plotfile_parity_v1d/restart_from_fchk_stepwise_200_300/fortran/chk00253	evolved_input_parity	plotfile_parity	evolved_restart_shared_fortran_checkpoint	single_step_253_to_254	1	1	254	90000.0	1	(92,3)	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/cpp/plt00254	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/cpp/chk00254	plotfile_parity_v1d/tag_retreat_G1b_t1_clean_e8f71610_20260501T204827Z/log.cpp_dbg1_t1	0	success	diag_mode=canonical;diag_target_column=(92,3);canonical_tag_count=3074;denfac_count=128;denfac_max_abs=4.441e-16;embedded_git_hash=e8f71610;tier1_first_material_group=none
