execution_id	timestamp_utc	run_pair_id	git_sha	dirty_flag	executable	build_type	inputs_file	setup_id	restart_from	validation_question	validation_lane	input_scope	temporal_scope	use_wdm6_cpp_answer	microphysics_debug	max_step	stop_time	nprocs	target_column_ij	campaign_id	run_pair	milestone	milestone_time_s	compared_step	active_species	first_failing_step	first_failing_var	zone_i	zone_j	zone_k	restart_from_chk	restart_repro_status	diff_plotfile_path	plot_path	checkpoint_path	log_path	exit_code	execution_status	notes
20260818T041718Z_mpi_np1ctrl_A_fortran_dbg0	20260818T041718Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_1	0	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	A_fortran	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/A_fortran/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/A_fortran/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.A_fortran	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T041729Z_mpi_np1ctrl_A_cpp_dbg0	20260818T041729Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_1	1	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	A_cpp	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/A_cpp/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/A_cpp/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.A_cpp	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T041732Z_mpi_np1ctrl_short_fortran_dbg0	20260818T041732Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_10	0	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	short_fortran	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/short_fortran/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/short_fortran/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.short_fortran	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T041816Z_mpi_np1ctrl_short_cpp_dbg0	20260818T041816Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_10	1	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	short_cpp	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/short_cpp/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/short_cpp/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.short_cpp	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T041819Z_mpi_np1ctrl_C_fortran_dbg0	20260818T041819Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	100-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	0	0	100	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	C_fortran	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	100	nn	128	3	81	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/C_fortran/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/C_fortran/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.C_fortran	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T042654Z_mpi_np1ctrl_C_cpp_dbg0	20260818T042654Z	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	100-step_milestone_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a	C_cpp	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	100	nn	128	3	81	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/C_cpp/plt	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/C_cpp/chk	plotfile_parity_wdm6_bubble_mpi_np1_control_v1a/log.C_cpp	0	success	np=1 CONTROL. The MPI-enabled binary run at a single rank reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16 with 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81) with 5 of 32 bitwise and the identical top-five ranking (rhoQ6 1.55720548e-12, x_velocity 1.504768435e-12, qgraup 1.289855448e-12, qrain 1.085963355e-12). Every figure matches the serial v2t basis to all ten digits. STRONGER: the np=1 native leg is BITWISE EQUAL to the serial build's native leg at plt00100 (fcompare PLOTFILE AGREE, 32/32) -- two independently configured CMake trees, ERF_ENABLE_MPI=ON vs OFF, producing identical bits. Run through the tracked serial runner with a temporary build_wdm6 -> build_wdm6_mpi symlink, since the runner hardwires BUILD_DIR; symlink removed afterwards and the worktree left clean. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6
20260818T061524Z_mpi_decomp_np1_cpp	20260818T061524Z	plotfile_parity_wdm6_bubble_mpi_decomp_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	decomp_reference_np1	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	1	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a	decomp_np1_cpp	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np1_cpp/plt	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np1_cpp/chk	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/log.decomp_np1_cpp	0	success	DECOMPOSITION-INDEPENDENCE MATRIX, one leg (native cpp) at 100 steps with identical physics settings and only the rank count / grid constraint differing. Compared against the np=1 case with fcompare -a, which is REQUIRED because the BoxArrays differ by construction. Natural decomposition at np=1, 2, 4 and 8 is BITWISE IDENTICAL, all 32 variables exactly zero. CRITICAL SCOPE CAVEAT: at every rank count AMReX split the 200x4x100 domain along x ONLY -- every box spans k=0..99 -- so these runs do NOT exercise a z-cut and say nothing about halo exchange across one. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6 THIS ROW IS THE np=1 REFERENCE for the matrix.
20260818T062404Z_mpi_decomp_np2_natural	20260818T062404Z	plotfile_parity_wdm6_bubble_mpi_decomp_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	decomp_np2_natural	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	2	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a	decomp_np2_natural	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np2_natural/plt	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np2_natural/chk	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/log.decomp_np2_natural	0	success	DECOMPOSITION-INDEPENDENCE MATRIX, one leg (native cpp) at 100 steps with identical physics settings and only the rank count / grid constraint differing. Compared against the np=1 case with fcompare -a, which is REQUIRED because the BoxArrays differ by construction. Natural decomposition at np=1, 2, 4 and 8 is BITWISE IDENTICAL, all 32 variables exactly zero. CRITICAL SCOPE CAVEAT: at every rank count AMReX split the 200x4x100 domain along x ONLY -- every box spans k=0..99 -- so these runs do NOT exercise a z-cut and say nothing about halo exchange across one. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6 np=2 natural: BITWISE IDENTICAL to np=1. Boxes ((0,0,0)(99,3,99)) ((100,0,0)(199,3,99)) -- x-cut only.
20260818T061610Z_mpi_decomp_np4_natural	20260818T061610Z	plotfile_parity_wdm6_bubble_mpi_decomp_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	decomp_np4_natural	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	4	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a	decomp_np4_cpp	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np4_cpp/plt	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np4_cpp/chk	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/log.decomp_np4_cpp	0	success	DECOMPOSITION-INDEPENDENCE MATRIX, one leg (native cpp) at 100 steps with identical physics settings and only the rank count / grid constraint differing. Compared against the np=1 case with fcompare -a, which is REQUIRED because the BoxArrays differ by construction. Natural decomposition at np=1, 2, 4 and 8 is BITWISE IDENTICAL, all 32 variables exactly zero. CRITICAL SCOPE CAVEAT: at every rank count AMReX split the 200x4x100 domain along x ONLY -- every box spans k=0..99 -- so these runs do NOT exercise a z-cut and say nothing about halo exchange across one. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6 np=4 natural: BITWISE IDENTICAL to np=1. Four boxes each spanning k=0..99, split in x at i=49/50/99/100/149/150 -- x-cut only.
20260818T062545Z_mpi_decomp_np8_natural	20260818T062545Z	plotfile_parity_wdm6_bubble_mpi_decomp_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_mpi/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	decomp_np8_natural	NA	plotfile_milestone_parity	plotfile_parity_mpi	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	8	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a	decomp_np8_natural	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np8_natural/plt	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/decomp_np8_natural/chk	plotfile_parity_wdm6_bubble_mpi_decomp_v1a/log.decomp_np8_natural	0	success	DECOMPOSITION-INDEPENDENCE MATRIX, one leg (native cpp) at 100 steps with identical physics settings and only the rank count / grid constraint differing. Compared against the np=1 case with fcompare -a, which is REQUIRED because the BoxArrays differ by construction. Natural decomposition at np=1, 2, 4 and 8 is BITWISE IDENTICAL, all 32 variables exactly zero. CRITICAL SCOPE CAVEAT: at every rank count AMReX split the 200x4x100 domain along x ONLY -- every box spans k=0..99 -- so these runs do NOT exercise a z-cut and say nothing about halo exchange across one. Worktree ERF_wt-2 at 23443226acbc, Noah-MP submodule repaired to e0aed2023 before configure, embedded describe verified 26.06-389-g23443226acbc with no -dirty. build_config=release;ERF_WDM6_F32_LITERALS=ON;ERF_ENABLE_MPI=ON;ERF_ENABLE_OPENMP=OFF;AMReX_GPU_BACKEND=NONE;gfortran;c++;OpenMPI 4.1.6 np=8 natural: BITWISE IDENTICAL to np=1. Eight 25-wide boxes, all spanning k=0..99 -- x-cut only.
