execution_id	timestamp_utc	run_pair_id	git_sha	dirty_flag	executable	build_type	inputs_file	setup_id	restart_from	validation_question	validation_lane	input_scope	temporal_scope	use_wdm6_cpp_answer	microphysics_debug	max_step	stop_time	nprocs	target_column_ij	campaign_id	run_pair	milestone	milestone_time_s	compared_step	active_species	first_failing_step	first_failing_var	zone_i	zone_j	zone_k	restart_from_chk	restart_repro_status	diff_plotfile_path	plot_path	checkpoint_path	log_path	exit_code	execution_status	notes
20260817T235341Z_optiona_ctrl_A_fortran_dbg0	20260817T235341Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_1	0	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	A_fortran	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/A_fortran/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/A_fortran/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.A_fortran	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235342Z_optiona_ctrl_A_cpp_dbg0	20260817T235342Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_1	1	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	A_cpp	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/A_cpp/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/A_cpp/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.A_cpp	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235351Z_optiona_ctrl_short_fortran_dbg0	20260817T235351Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_10	0	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	short_fortran	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/short_fortran/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/short_fortran/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.short_fortran	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235354Z_optiona_ctrl_short_cpp_dbg0	20260817T235354Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_10	1	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	short_cpp	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	NA	NA	NA	NA	NA	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/short_cpp/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/short_cpp/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.short_cpp	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235407Z_optiona_ctrl_C_fortran_dbg0	20260817T235407Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	100-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_100	0	0	100	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	C_fortran	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	100	nn	128	3	81	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/C_fortran/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/C_fortran/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.C_fortran	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235541Z_optiona_ctrl_C_cpp_dbg0	20260817T235541Z	plotfile_parity_wdm6_bubble_optiona_control_v1a_short100	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_A/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	100-step_milestone_optionA	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_100	1	0	100	NA	1	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a	C_cpp	C	50	100	qv,qc,qi,qs,qg,nc,nn,nr	100	nn	128	3	81	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optiona_control_v1a/C_cpp/plt	plotfile_parity_wdm6_bubble_optiona_control_v1a/C_cpp/chk	plotfile_parity_wdm6_bubble_optiona_control_v1a/log.C_cpp	0	success	OPTION A CONTROL, literals=F32, the acceptance test for this worktree. Reproduces the closed serial ladder EXACTLY: A PLOTFILE AGREE 32/32; B worst qt 2.845847066e-16, 16 of 32 bitwise; C worst nn 1.285451261e-11 at (128,3,81), 5 of 32 bitwise. Tree, compiler and flags are therefore validated against a closed gate and the Option B numbers are interpretable. literals=F32. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235625Z_optionb_A_fortran_dbg0	20260817T235625Z	plotfile_parity_wdm6_bubble_optionb_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_B/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_optionB	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_1	0	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_optionb_v1a	A_fortran	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	1	pert_pres	122	3	31	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optionb_v1a/A_fortran/plt	plotfile_parity_wdm6_bubble_optionb_v1a/A_fortran/chk	plotfile_parity_wdm6_bubble_optionb_v1a/log.A_fortran	0	success	OPTION B, literals=double. Oracle is Fortran built -fdefault-real-8, NOT Fortran-as-compiled. Residuals are consistently LARGER than Option A on the same tree: A loses bitwise agreement entirely (26 of 32 bitwise, worst pert_pres 3.357937344e-14 at (122,3,31)); B worst nc 7.774087668e-12 at (129,3,45) against Option A's qt 2.845847066e-16, about 20x on qt; C worst nn 2.102125551e-11 at (116,3,83) against 1.285451261e-11, with rhoQ6 8.085080508e-12 vs 1.55720548e-12 (5.2x) and qt 3.585695032e-12 vs 7.484832684e-13 (4.8x). literals=double. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235626Z_optionb_A_cpp_dbg0	20260817T235626Z	plotfile_parity_wdm6_bubble_optionb_v1a_short1	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_B/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	1-step_milestone_optionB	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_1	1	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_optionb_v1a	A_cpp	A	0.5	1	qv,qc,qi,qs,qg,nc,nn,nr	1	pert_pres	122	3	31	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optionb_v1a/A_cpp/plt	plotfile_parity_wdm6_bubble_optionb_v1a/A_cpp/chk	plotfile_parity_wdm6_bubble_optionb_v1a/log.A_cpp	0	success	OPTION B, literals=double. Oracle is Fortran built -fdefault-real-8, NOT Fortran-as-compiled. Residuals are consistently LARGER than Option A on the same tree: A loses bitwise agreement entirely (26 of 32 bitwise, worst pert_pres 3.357937344e-14 at (122,3,31)); B worst nc 7.774087668e-12 at (129,3,45) against Option A's qt 2.845847066e-16, about 20x on qt; C worst nn 2.102125551e-11 at (116,3,83) against 1.285451261e-11, with rhoQ6 8.085080508e-12 vs 1.55720548e-12 (5.2x) and qt 3.585695032e-12 vs 7.484832684e-13 (4.8x). literals=double. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235633Z_optionb_short_fortran_dbg0	20260817T235633Z	plotfile_parity_wdm6_bubble_optionb_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_B/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_optionB	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_10	0	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_optionb_v1a	short_fortran	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	10	nc	129	3	45	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optionb_v1a/short_fortran/plt	plotfile_parity_wdm6_bubble_optionb_v1a/short_fortran/chk	plotfile_parity_wdm6_bubble_optionb_v1a/log.short_fortran	0	success	OPTION B, literals=double. Oracle is Fortran built -fdefault-real-8, NOT Fortran-as-compiled. Residuals are consistently LARGER than Option A on the same tree: A loses bitwise agreement entirely (26 of 32 bitwise, worst pert_pres 3.357937344e-14 at (122,3,31)); B worst nc 7.774087668e-12 at (129,3,45) against Option A's qt 2.845847066e-16, about 20x on qt; C worst nn 2.102125551e-11 at (116,3,83) against 1.285451261e-11, with rhoQ6 8.085080508e-12 vs 1.55720548e-12 (5.2x) and qt 3.585695032e-12 vs 7.484832684e-13 (4.8x). literals=double. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
20260817T235638Z_optionb_short_cpp_dbg0	20260817T235638Z	plotfile_parity_wdm6_bubble_optionb_v1a_short10	23443226acbc4e3e82287f676738c7b0839f5f7e	clean	build_wdm6_B/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	10-step_milestone_optionB	NA	plotfile_milestone_parity	plotfile_parity_serial	bubble_moist_initial_condition	step_0_to_10	1	0	10	NA	1	NA	plotfile_parity_wdm6_bubble_optionb_v1a	short_cpp	B	5	10	qv,qc,qi,qs,qg,nc,nn,nr	10	nc	129	3	45	NA	NOT_MEASURED	NA	plotfile_parity_wdm6_bubble_optionb_v1a/short_cpp/plt	plotfile_parity_wdm6_bubble_optionb_v1a/short_cpp/chk	plotfile_parity_wdm6_bubble_optionb_v1a/log.short_cpp	0	success	OPTION B, literals=double. Oracle is Fortran built -fdefault-real-8, NOT Fortran-as-compiled. Residuals are consistently LARGER than Option A on the same tree: A loses bitwise agreement entirely (26 of 32 bitwise, worst pert_pres 3.357937344e-14 at (122,3,31)); B worst nc 7.774087668e-12 at (129,3,45) against Option A's qt 2.845847066e-16, about 20x on qt; C worst nn 2.102125551e-11 at (116,3,83) against 1.285451261e-11, with rhoQ6 8.085080508e-12 vs 1.55720548e-12 (5.2x) and qt 3.585695032e-12 vs 7.484832684e-13 (4.8x). literals=double. Worktree ERF_wt-6 at 23443226acbc, clean, embedded describe verified 26.06-389-g23443226acbc with no -dirty on BOTH binaries. Flag scoping re-verified against the actual gfortran command lines in build.make, not the flags.make comment: -fdefault-real-8 -fdefault-double-8 attach to exactly ERF_module_mp_wdm6.F90 and ERF_module_mp_wdm6_isohelper.F90. cmp shows the A and B binaries differ at byte 25, so OPEN QUESTION 3 IS RESOLVED -- the equal 31,619,272-byte size that prompted the warning was a coincidence and the campaign is measuring something real.
