# ERF-Dust 15-minute STEL diagnostics
step,time_s,stel_max_mg_m3,stel_mean_mg_m3,stel_exceeded_cells
1,0.5,0.0128295,0.000823117,0
2,1,0.0256568,0.00164609,0
3,1.5,0.0384820,0.00246900,0
4,2,0.0513052,0.00329186,0
5,2.5,0.0641264,0.00411468,0
6,3,0.0641264,0.00411468,0
7,3.5,0.0641264,0.00411468,0
8,4,0.0641264,0.00411468,0
9,4.5,0.0641264,0.00411468,0
10,5,0.0641264,0.00411468,0
11,5.5,0.0641264,0.00411468,0
12,6,0.0694107,0.00444987,0
13,6.5,0.0746945,0.00478835,0
14,7,0.0799779,0.00512955,0
15,7.5,0.0866946,0.00555085,0
16,7.5,0.0866946,0.00555085,0
17,8,0.0940919,0.00602890,0
18,8.5,0.101497,0.00650884,0
19,9,0.108906,0.00699052,0
20,9.5,0.116315,0.00747379,0
