# ERF-Dust visibility diagnostics (Koschmieder)
step,time_s,visibility_min_m,visibility_mean_m,haul_road_closure_cells,reduced_visibility_cells
1,0.5,73.8817,23866.3,4,6
2,1,73.7998,23691.9,4,6
3,1.5,73.7422,23534.1,4,6
4,2,73.6885,23389.1,4,6
5,2.5,73.6414,23254.6,4,6
6,3,73.6005,23129.7,4,6
7,3.5,73.5655,23014.0,4,6
8,4,73.5359,22906.8,4,6
9,4.5,73.5113,22808.1,4,6
10,5,73.4913,22717.3,4,6
11,5.5,73.4755,22633.4,4,6
12,6,73.4437,22394.8,4,6
13,6.5,73.3817,22168.4,4,6
14,7,73.2870,21938.3,4,6
15,7.5,73.1289,21521.6,4,6
16,7.5,73.1289,21521.6,4,6
17,8,72.9751,20775.3,4,6
18,8.5,72.8597,20119.5,4,6
19,9,72.7816,19538.9,4,6
20,9.5,72.7397,19021.7,4,6
