# ERF-Dust silica RCS diagnostics
step,time_s,rcs_max_mg_m3,rcs_mean_mg_m3,osha_pel_exceeded_cells
1,0.5,0.513178,0.0329408,6
2,1,0.518464,0.0332960,6
3,1.5,0.522095,0.0335393,6
4,2,0.524916,0.0337288,6
5,2.5,0.527098,0.0338960,6
6,3,0.528769,0.0340302,6
7,3.5,0.530066,0.0341512,6
8,4,0.531030,0.0342556,6
9,4.5,0.531720,0.0343446,6
10,5,0.532196,0.0344185,6
11,5.5,0.532524,0.0344758,6
12,6,0.533007,0.0344894,6
13,6.5,0.533696,0.0345308,6
14,7,0.534350,0.0345944,6
15,7.5,0.534946,0.0344755,6
16,7.5,0.534946,0.0344755,6
17,8,0.536073,0.0346416,6
18,8.5,0.536923,0.0347969,6
19,9,0.537499,0.0349413,6
20,9.5,0.537808,0.0350751,6
