step,time,call_site,SW_surface,SW_TOA,SW_up_TOA,LW_net_surface,LW_up_TOA,heating_rate_max,SEB_residual_mean,SEB_residual_max,T_s_mean,T_s_max,q_s_mean,q_s_max
0,0.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023463e+00,4.554474e+02,1.751485e-02,nan,nan,nan,nan,nan,nan
0,5.000000e-01,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023463e+00,4.554474e+02,1.751485e-02,nan,nan,nan,nan,nan,nan
1,5.000000e-01,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022698e+00,4.554086e+02,1.751104e-02,nan,nan,nan,nan,nan,nan
1,1.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022698e+00,4.554086e+02,1.751104e-02,nan,nan,nan,nan,nan,nan
2,1.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021914e+00,4.553727e+02,1.750727e-02,nan,nan,nan,nan,nan,nan
2,1.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021914e+00,4.553727e+02,1.750727e-02,nan,nan,nan,nan,nan,nan
3,1.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021046e+00,4.553367e+02,1.750350e-02,nan,nan,nan,nan,nan,nan
3,2.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021046e+00,4.553367e+02,1.750350e-02,nan,nan,nan,nan,nan,nan
4,2.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.020346e+00,4.553010e+02,1.749974e-02,nan,nan,nan,nan,nan,nan
4,2.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.020346e+00,4.553010e+02,1.749974e-02,nan,nan,nan,nan,nan,nan
5,2.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.019754e+00,4.552651e+02,1.749598e-02,nan,nan,nan,nan,nan,nan
5,3.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.019754e+00,4.552651e+02,1.749598e-02,nan,nan,nan,nan,nan,nan
6,3.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021330e+00,4.552292e+02,1.749222e-02,nan,nan,nan,nan,nan,nan
6,3.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021330e+00,4.552292e+02,1.749222e-02,nan,nan,nan,nan,nan,nan
7,3.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023905e+00,4.551933e+02,1.748846e-02,nan,nan,nan,nan,nan,nan
7,4.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023905e+00,4.551933e+02,1.748846e-02,nan,nan,nan,nan,nan,nan
8,4.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022461e+00,4.551575e+02,1.748470e-02,nan,nan,nan,nan,nan,nan
8,4.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022461e+00,4.551575e+02,1.748470e-02,nan,nan,nan,nan,nan,nan
9,4.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021897e+00,4.551218e+02,1.748095e-02,nan,nan,nan,nan,nan,nan
9,5.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021897e+00,4.551218e+02,1.748095e-02,nan,nan,nan,nan,nan,nan
