step,time,call_site,SW_surface,SW_TOA,SW_up_TOA,LW_net_surface,LW_up_TOA,heating_rate_max,SEB_residual_mean,SEB_residual_max,T_s_mean,T_s_max,q_s_mean,q_s_max
0,0.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023463e+00,4.554474e+02,1.810531e-02,nan,nan,nan,nan,nan,nan
0,5.000000e-01,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.023463e+00,4.554474e+02,1.810531e-02,nan,nan,nan,nan,nan,nan
1,5.000000e-01,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022697e+00,4.554073e+02,1.810126e-02,nan,nan,nan,nan,nan,nan
1,1.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022697e+00,4.554073e+02,1.810126e-02,nan,nan,nan,nan,nan,nan
2,1.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021910e+00,4.553702e+02,1.809723e-02,nan,nan,nan,nan,nan,nan
2,1.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021910e+00,4.553702e+02,1.809723e-02,nan,nan,nan,nan,nan,nan
3,1.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021038e+00,4.553330e+02,1.809320e-02,nan,nan,nan,nan,nan,nan
3,2.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021038e+00,4.553330e+02,1.809320e-02,nan,nan,nan,nan,nan,nan
4,2.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.020333e+00,4.552960e+02,1.808918e-02,nan,nan,nan,nan,nan,nan
4,2.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.020333e+00,4.552960e+02,1.808918e-02,nan,nan,nan,nan,nan,nan
5,2.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.019741e+00,4.552589e+02,1.808515e-02,nan,nan,nan,nan,nan,nan
5,3.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.019741e+00,4.552589e+02,1.808515e-02,nan,nan,nan,nan,nan,nan
6,3.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021387e+00,4.552218e+02,1.808113e-02,nan,nan,nan,nan,nan,nan
6,3.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.021387e+00,4.552218e+02,1.808113e-02,nan,nan,nan,nan,nan,nan
7,3.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.024066e+00,4.551847e+02,1.807711e-02,nan,nan,nan,nan,nan,nan
7,4.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.024066e+00,4.551847e+02,1.807711e-02,nan,nan,nan,nan,nan,nan
8,4.000000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022593e+00,4.551477e+02,1.807310e-02,nan,nan,nan,nan,nan,nan
8,4.500000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022593e+00,4.551477e+02,1.807310e-02,nan,nan,nan,nan,nan,nan
9,4.500000e+00,pre_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022031e+00,4.551108e+02,1.806908e-02,nan,nan,nan,nan,nan,nan
9,5.000000e+00,post_dycore,3.193070e+02,6.805000e+02,9.173051e+01,1.022031e+00,4.551108e+02,1.806908e-02,nan,nan,nan,nan,nan,nan
