step,time,call_site,SW_TOA,heating_rate_max
0,0.0,pre_dycore,680.5,0.0201
0,0.0,post_dycore,680.5,0.0201
1,0.5,pre_dycore,680.5,0.0202
1,0.5,post_dycore,680.5,0.0202
2,1.0,pre_dycore,680.5,0.0201
2,1.0,post_dycore,680.5,0.0201
3,1.5,pre_dycore,680.5,0.0202
3,1.5,post_dycore,680.5,0.0202
4,2.0,pre_dycore,680.5,0.0201
4,2.0,post_dycore,680.5,0.0201
5,2.5,pre_dycore,680.5,0.0202
5,2.5,post_dycore,680.5,0.0202
6,3.0,pre_dycore,680.5,0.0201
6,3.0,post_dycore,680.5,0.0201
7,3.5,pre_dycore,680.5,0.0202
7,3.5,post_dycore,680.5,0.0202
8,4.0,pre_dycore,680.5,0.0201
8,4.0,post_dycore,680.5,0.0201
9,4.5,pre_dycore,680.5,0.0202
9,4.5,post_dycore,680.5,0.0202
